Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats
2023-05-12 10:14:01.265000,BA_051223C205,Cblast#2108,cb_challenge,0,option,BTO,0.18,1,0.17,,,,1.0,0.05,0.05,0.05,0.05,-72.2222222222222,-70.5882352941177,-13.0,-12.0,2023-05-12 10:37:47.645000,,"max:0.0% min:-76.47%|TS:0.2,-23.53%,$0.13,in 00:00:30| TS:0.3,-41.18%,$0.1,in 00:04:39| TS:0.4,-41.18%,$0.1,in 00:04:39| TS:0.5,-52.94%,$0.08,in 00:16:25"
2023-05-12 10:19:57.255000,SPXW_051223C4160,EvaPanda#7872,analyst-alerts,0,option,BTO,0.85,1,0.9,,,,1.0,0.5,0.45,0.5,0.45,-41.1764705882353,-50.0,-35.0,-45.0,2023-05-12 10:32:22.436000,,"max:0.0% min:-44.44%|TS:0.2,-22.22%,$0.7,in 00:09:44| TS:0.3,-33.33%,$0.6,in 00:10:08| TS:0.4,-44.44%,$0.5,in 00:10:44"
2023-05-12 10:21:08.054000,BA_051223C205,Cedar#9754,analyst-alerts,0,option,BTO,0.11,45,0.12,,,,45.0,0.14,0.07,0.14,0.07,27.2727272727273,-41.6666666666667,135.0,-225.0,2023-05-12 10:31:58.610000,,"max:41.67% min:-41.67%|TS:0.2,0.0%,$0.12,in 00:08:18| TS:0.3,-8.33%,$0.11,in 00:08:56| TS:0.4,-16.67%,$0.1,in 00:09:13| TS:0.5,-33.33%,$0.08,in 00:09:18"
2023-05-12 10:39:29.809000,TSLA_051223C175,AVI#9896,analyst-alerts,0,option,BTO,0.54,5,0.58,,,,5.0,0.57,0.56,0.57,0.56,5.55555555555554,-3.44827586206895,15.0,-9.99999999999995,2023-05-12 10:47:43.249000,,"max:0.0% min:-22.41%|TS:0.2,-20.69%,$0.46,in 00:02:27"
2023-05-12 10:40:18.954000,SPXW_051223C4150,Cblast#2108,cb_challenge,0,option,BTO,1.15,5,1.25,,,,5.0,0.4,0.35,0.4,0.35,-65.2173913043478,-72.0,-375.0,-450.0,2023-05-12 12:06:55.141000,,"max:4.0% min:-72.0%|TS:0.2,-20.0%,$1.0,in 00:07:27| TS:0.3,-28.0%,$0.9,in 00:12:43| TS:0.4,-40.0%,$0.75,in 00:33:33| TS:0.5,-52.0%,$0.6,in 00:35:12"
2023-05-12 10:56:52.361000,SPXW_051223C4150,GHO$T#8972,analyst-alerts,0,option,BTO,0.85,3,1.0,,,,3.0,1.15,1.06666666666667,1.1/1.25,1.05/1.1,35.2941176470588,6.66666666666667,90.0,20.0,2023-05-12 11:09:07.165000,,"max:30.0% min:-15.0%|TS:0.2,-10.0%,$0.9,in 00:06:00"
2023-05-12 10:57:04.362000,SPY_051223C412,Cedar#9754,analyst-alerts,0,option,BTO,0.6,8,0.62,0.6/0.6,0.62/0.61,1.0,8.0,0.21,0.17,0.21,0.17,-65.0,-72.5806451612903,-312.0,-360.0,2023-05-12 12:29:13.555000,,"max:32.26% min:-74.19%|TS:0.2,0.0%,$0.62,in 00:15:13| TS:0.3,-8.06%,$0.57,in 00:15:23| TS:0.4,-27.42%,$0.45,in 00:18:23| TS:0.5,-33.87%,$0.41,in 00:18:38"
2023-05-12 11:14:53.059000,SPXW_051223P4100,Father#4214,analyst-alerts,0,option,BTO,1.75,3,1.8,,,,3.0,2.6,2.55,2.6,2.55,48.5714285714286,41.6666666666667,255.0,225.0,2023-05-12 11:29:59.957000,,"max:63.89% min:-2.78%|TS:0.2,27.78%,$2.3,in 00:01:49| TS:0.3,11.11%,$2.0,in 00:02:39"
2023-05-12 12:35:46.272000,SPXW_051223C4130,AVI#9896,analyst-alerts,0,option,BTO,1.5,2,1.5,,,,2.0,1.05,0.95,1.05,0.95,-30.0,-36.6666666666667,-90.0,-110.0,2023-05-12 12:38:11.889000,,"max:0.0% min:-36.67%|TS:0.2,-20.0%,$1.2,in 00:00:32| TS:0.3,-36.67%,$0.95,in 00:01:57"
2023-05-12 12:41:47.576000,BA_051223C202.5,AVI#9896,analyst-alerts,0,option,BTO,0.05,10,0.06,,,,10.0,0.04,0.04,0.04,0.04,-20.0,-33.3333333333333,-10.0,-20.0,2023-05-12 12:55:49.297000,,"max:0.0% min:-50.0%|TS:0.2,-33.33%,$0.04,in 00:00:07| TS:0.3,-33.33%,$0.04,in 00:00:07| TS:0.4,-50.0%,$0.03,in 00:02:05| TS:0.5,-50.0%,$0.03,in 00:02:05"
