Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats,STC-xQty
2023-06-09 14:20:18.527000,FDX_063023P210,AVI#9896,analyst-alerts,0,option,BTO,3.2,1,3.2,,,,1.0,3.45,3.4,3.45,3.4,7.8125,6.24999999999999,25.0,20.0,2023-06-13 10:22:20.083000,,"| min,-4.69%,$3.05,in 3 days 19:27:21| max,15.62%,$3.7,in 3 days 19:57:10| | ",
2023-06-09 14:23:09.365000,RIVN_072123C17.5,evapanda,analyst-alerts,0,option,BTO,0.49,1,0.5,,,,1.0,0.59,,0.59,,20.4081632653061,,10.0,,2023-06-12 09:58:00.148000,,"| min,-10.0%,$0.45,in 3 days 01:36:49| max,8.0%,$0.54,in 01:28:59| | ",
2023-06-09 14:56:17.266000,TSLA_060923C247.5,cblast,cb_challenge,0,option,BTO,0.28,5,0.29,,,,5.0,0.03,0.03,0.03,0.03,-89.2857142857143,-89.6551724137931,-125.0,-130.0,2023-06-09 15:34:55.330000,,"| min,-86.21%,$0.04,in 00:34:30| max,37.93%,$0.4,in 00:01:53| | TS:0.2,17.24%,$0.34,in 00:02:58| TS:0.3,3.45%,$0.3,in 00:03:18| TS:0.4,-3.45%,$0.28,in 00:03:53| TS:0.5,-13.79%,$0.25,in 00:04:23",
2023-06-09 14:59:23.480000,SPXW_060923C4310,cblast,cb_challenge,0,option,BTO,1.25,1,1.6,,,,1.0,0.05,,0.05,,-96.0,,-120.0,,2023-06-09 15:50:11.833000,,"| min,-96.88%,$0.05,in 00:50:25| max,18.75%,$1.9,in 00:04:43| | TS:0.2,-18.75%,$1.3,in 00:01:18| TS:0.3,-28.13%,$1.15,in 00:01:32| TS:0.4,-31.25%,$1.1,in 00:06:58| TS:0.5,-34.38%,$1.05,in 00:07:03",
2023-06-09 15:02:48.663000,NKE_063023C115,AVI#9896,analyst-alerts,0,option,BTO,1.25,2,1.27,,,,2.0,1.34,,1.34,,7.20000000000001,,18.0,,2023-06-12 14:38:22.906000,,"| min,-1.57%,$1.25,in 00:48:35| max,24.41%,$1.58,in 3 days 00:57:10| | ",
2023-06-09 15:35:57.674000,META_061623C270,enhancedmarket,analyst-alerts,0,option,BTO,2.59,10,2.6,,,,10.0,0.0,0.0,0,0,-100.0,-100.0,-2590.0,-2600.0,2023-06-17T00:00:00+0000,,,1.0
2023-06-09 15:52:13.183000,BABA_061623P84,tradewithnando,analyst-alerts,0,option,BTO,1.12,3,1.14,,,,3.0,0.0,0.0,0,0,-100.0,-100.0,-336.0,-342.0,2023-06-17T00:00:00+0000,,,1.0
2023-06-09 15:57:21.467000,UNH_063023C510,AVI#9896,analyst-alerts,1,option,BTO,1.13,2,2.72,,,,,,,,,,,,,,,,
2023-06-12 09:31:34.664000,ASST,oogwayta,analyst-alerts,0,stock,BTO,2.96,150,,,,,150.0,3.28666666666667,,3.45/2.96,,11.036036036036,,49.0,,2023-06-12 09:36:52.433000,,,
2023-06-12 09:32:11.774000,MCOM,oogwayta,analyst-alerts,0,stock,BTO,0.47,900,,,,,900.0,0.43,,0.43,,-8.51063829787234,,-36.0,,2023-06-12 09:34:37.397000,,,
